"Year","Country","Area","CatchCategory","CATONRaisedOrImported","SeasonType","Season","Fleet","ReportingCategory","MisreportedArea","Caton","OfficialLandings","Usage","Effort","UnitEffort"
1987,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,1281570,1282000,NA,-9,NA
1987,"Denmark","27.7.d","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,291320,291000,NA,-9,NA
1988,"Denmark","27.7.d","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,3233820,3234000,NA,-9,NA
1989,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,868470,868000,NA,-9,NA
1989,"Denmark","27.7.e","Landings","Imported_Data","Quarter",3,"PS_SPF_0_0_0","Reported",NA,427750,428000,NA,-9,NA
1989,"Denmark","27.7.d","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,945240,945000,NA,-9,NA
1989,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,2426280,2426000,NA,-9,NA
1990,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,1492510,1493000,NA,-9,NA
1990,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,4177680,4178000,NA,-9,NA
1990,"Denmark","27.7.h","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,442680,443000,NA,-9,NA
1991,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,1639000,1639000,NA,-9,NA
1991,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,2822520,2823000,NA,-9,NA
1992,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,6244840,6245000,NA,-9,NA
1992,"Denmark","27.7.e","Landings","Imported_Data","Quarter",2,"PS_SPF_0_0_0","Reported",NA,588130,588000,NA,-9,NA
1992,"Denmark","27.7.d","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,1513960,1514000,NA,-9,NA
1992,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,9159662,9160000,NA,-9,NA
1992,"Denmark","27.7.f","Landings","Imported_Data","Quarter",3,"PS_SPF_0_0_0","Reported",NA,335750,336000,NA,-9,NA
1993,"Denmark","27.7.e","Landings","Imported_Data","Quarter",2,"PS_SPF_0_0_0","Reported",NA,260000,260000,NA,-9,NA
1993,"Denmark","27.7.h","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,99960,100000,NA,-9,NA
1993,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,10844266,10844000,NA,-9,NA
1993,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,175376,175000,NA,-9,NA
1993,"Denmark","27.7.d","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,2590044,2590000,NA,-9,NA
1994,"Denmark","27.7.e","Landings","Imported_Data","Quarter",2,"PS_SPF_0_0_0","Reported",NA,871672,872000,NA,-9,NA
1994,"Denmark","27.7.d","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,2039868,2040000,NA,-9,NA
1994,"Denmark","27.7.h","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,246622,247000,NA,-9,NA
1994,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,15586812,15587000,NA,-9,NA
1994,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,2058096,2058000,NA,-9,NA
1995,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,8216838,8217000,NA,-9,NA
1995,"Denmark","27.7.d","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,473196,473000,NA,-9,NA
1995,"Germany","27.7.h","Landings","Imported_Data","Quarter",4,"MIS_MIS_0_0_0_HC","Reported",NA,32840,33000,NA,-9,NA
1995,"Denmark","27.7.h","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,238222,238000,NA,-9,NA
1995,"Denmark","27.7.d","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,675240,675000,NA,-9,NA
1996,"Denmark","27.7.h","Landings","Imported_Data","Quarter",2,"PS_SPF_0_0_0","Reported",NA,644838,645000,NA,-9,NA
1996,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,628090,628000,NA,-9,NA
1996,"Denmark","27.7.e","Landings","Imported_Data","Quarter",2,"PS_SPF_0_0_0","Reported",NA,123242,123000,NA,-9,NA
1997,"Denmark","27.7.e","Landings","Imported_Data","Quarter",4,"PS_SPF_0_0_0","Reported",NA,819603,820000,NA,-9,NA
1997,"Germany","27.7.e","Landings","Imported_Data","Quarter",3,"MIS_MIS_0_0_0_HC","Reported",NA,12460,12000,NA,-9,NA
1997,"Denmark","27.7.e","Landings","Imported_Data","Quarter",1,"PS_SPF_0_0_0","Reported",NA,1124490,1124000,NA,-9,NA
